DATAFLOW,LAST UPDATE,freq,bmi,isced11,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Montenegro,2022,40.7,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,North Macedonia,2017,51.3,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,North Macedonia,2022,54.3,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Malta,2017,40.7,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Malta,2022,39.7,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Malta,2025,44.0,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Netherlands,2017,42.0,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Netherlands,2022,42.7,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Netherlands,2025,41.1,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Norway,2017,37.2,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Norway,2022,42.6,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Norway,2025,39.9,,
